year_month,sharpe,total_profit,win_rate,num_trades,report
2021-08,-1.0580265154449142,-490.2553741493711,0.0,1,SL1.5_PT2.5
2021-09,3.808372384600282,1764.6769727006454,0.5,2,SL1.5_PT2.5
2021-10,-0.9176422697411221,-425.2058409878621,0.0,1,SL1.5_PT2.5
2021-11,2.3936808565560823,1109.1545313792165,1.0,1,SL1.5_PT2.5
2021-12,0.5823668036035059,269.85,1.0,1,SL1.5_PT2.5
2022-01,0.0,0.0,,0,SL1.5_PT2.5
2022-02,6.805617254326984,3153.5036075484863,0.6666666666666666,3,SL1.5_PT2.5
2022-03,0.0,0.0,,0,SL1.5_PT2.5
2022-04,0.7036746115861972,326.06012698796656,0.5,2,SL1.5_PT2.5
2022-05,6.757088020500613,3131.0167252828514,0.6666666666666666,3,SL1.5_PT2.5
2022-06,-1.9124463904396205,-886.1659958411558,0.3333333333333333,3,SL1.5_PT2.5
2022-07,2.1927079603268487,1016.0301710759087,0.5,2,SL1.5_PT2.5
2022-08,0.7378429525889735,341.89263454599813,1.0,1,SL1.5_PT2.5
2022-09,1.9738248640643197,914.6068015415125,1.0,1,SL1.5_PT2.5
2022-10,1.832754523382696,849.2393540884912,1.0,1,SL1.5_PT2.5
2022-11,7.303448361865448,3384.182491609188,1.0,2,SL1.5_PT2.5
2022-12,1.2362410862655513,572.8342602369287,0.6666666666666666,3,SL1.5_PT2.5
2023-01,9.426022796355067,4367.715048071642,1.0,3,SL1.5_PT2.5
2023-02,0.0,0.0,,0,SL1.5_PT2.5
2023-03,-2.5144768043015633,-1165.1274788367627,0.25,4,SL1.5_PT2.5
2023-04,0.09995828932375053,46.317448396970576,1.0,1,SL1.5_PT2.5
2023-05,1.6994800837600184,787.4842758291454,1.0,1,SL1.5_PT2.5
2023-06,-4.187759960319176,-1940.4729429967915,0.0,2,SL1.5_PT2.5
2023-07,4.1753904714337615,1934.7413206668868,1.0,1,SL1.5_PT2.5
2023-08,0.0,0.0,,0,SL1.5_PT2.5
